step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,action_0,action_1,action_2,action_3,action_4,action_5,reward,done
0,-0.0992203950881958,-0.03776125982403755,-0.08526354283094406,-0.07673995196819305,-0.06075851991772652,0.027984358370304108,0.07948983460664749,0.0821465328335762,0.0904882550239563,0.011708875186741352,-0.01889812760055065,-0.025947896763682365,0.01234982069581747,0.027644693851470947,-0.04751894995570183,-0.07630522549152374,0.05659255385398865,-0.7123134136199951,0.41970014572143555,-0.5269002914428711,-0.13268303871154785,0.06855082511901855,-0.0060656070709228516,-0.29318612813949585,False
1,-0.10524094104766846,0.005525709595531225,-0.394587904214859,0.38039326667785645,-0.37267935276031494,-0.04096095263957977,0.10655275732278824,0.06810837239027023,-0.43681448698043823,-0.9720934629440308,-0.33843672275543213,-7.19435977935791,12.359143257141113,-7.988519191741943,-0.30694252252578735,0.227870911359787,-0.3760307729244232,0.46067261695861816,-0.7913656234741211,-0.5314991474151611,-0.689802885055542,-0.16150736808776855,-0.30959630012512207,-0.45639902353286743,False
2,-0.07230007648468018,0.027284087613224983,-0.4897109568119049,0.4071085751056671,-0.3435407876968384,-0.16093961894512177,0.1658368855714798,-0.09050045907497406,-0.32599663734436035,1.9110692739486694,2.0001606941223145,0.2887212038040161,-5.193235397338867,1.2223385572433472,-3.311586380004883,1.5289742946624756,-6.067228317260742,0.6534159183502197,0.8794054985046387,0.8498427867889404,0.5153388977050781,-0.9607160091400146,-0.42270851135253906,-0.14946672320365906,False
3,-0.05976647138595581,0.016508696600794792,-0.37972575426101685,0.2408725768327713,-0.19043351709842682,0.06580489873886108,-0.19707603752613068,-0.3738331198692322,0.35939162969589233,0.45670607686042786,0.8986006379127502,-0.016250967979431152,2.130735158920288,1.4380981922149658,5.4545979499816895,-12.332342147827148,-5.24021577835083,-0.5843720436096191,0.5699148178100586,0.8642709255218506,-0.9682824611663818,0.02323746681213379,0.5758647918701172,-0.6768753528594971,False
4,-0.08882021903991699,0.03175109252333641,-0.5168600082397461,0.395923376083374,0.17543083429336548,0.049270253628492355,-0.6413384079933167,-0.263779878616333,-0.5672982335090637,-0.5619550943374634,0.6090790033340454,-8.682595252990723,7.251869201660156,10.66545581817627,-3.671363115310669,-8.352079391479492,8.246136665344238,-0.806732177734375,-0.6372261047363281,-0.6484131813049316,0.7234232425689697,0.9656009674072266,-0.4642906188964844,-0.5332216024398804,False
5,-0.11488866806030273,0.017086772248148918,-0.5030181407928467,0.43021732568740845,0.43432292342185974,-0.13104352355003357,-0.4692782759666443,-0.5615575909614563,-0.1281634271144867,-0.2095993012189865,-0.49906936287879944,2.6442148685455322,0.1969323754310608,0.7828599810600281,-3.303454875946045,9.113829612731934,-12.059015274047852,-0.7457461357116699,-0.6256728172302246,0.3822920322418213,-0.6891844272613525,-0.1901698112487793,0.22626352310180664,-0.6556323766708374,False
6,-0.1582186222076416,0.029106806963682175,-0.43801891803741455,0.21385996043682098,0.7790789604187012,-0.3602752685546875,-0.6780649423599243,0.23390920460224152,-0.4515874683856964,-0.7482511401176453,3.8711118698120117,-6.550283908843994,-1.9059112071990967,8.624799728393555,-8.08422565460205,-5.233356952667236,18.043256759643555,0.02397918701171875,0.6633210182189941,0.6871337890625,-0.8000369071960449,0.1156759262084961,0.17630887031555176,-0.026114657521247864,False
7,-0.17215514183044434,0.10384049266576767,-0.5231900811195374,0.36558035016059875,0.6094129085540771,-0.74192214012146,-0.4139440059661865,0.20189936459064484,-0.2353428155183792,-0.0033135265111923218,1.5875767469406128,-0.7643837332725525,5.095573425292969,-4.515354633331299,-6.951690196990967,10.036478996276855,-12.35057258605957,-0.15227055549621582,-0.3510768413543701,0.2848532199859619,0.5435702800750732,-0.22735142707824707,0.9943928718566895,0.39578086137771606,False
8,-0.22394683957099915,0.11566776037216187,-0.4218904674053192,0.33823102712631226,0.65351402759552,-0.7630820274353027,-0.5683920383453369,0.4082759916782379,0.9093100428581238,-0.3112996220588684,0.9797576069831848,1.404450535774231,-1.287148118019104,2.695317268371582,-0.19468267261981964,-10.38525676727295,16.966033935546875,-0.9741182327270508,0.7696335315704346,-0.6874902248382568,-0.4687213897705078,-0.9974582195281982,0.604482889175415,-0.14803475141525269,False
9,-0.30241766571998596,0.15249989926815033,-0.5440496802330017,0.7353400588035583,0.4631628096103668,-0.6702876091003418,-0.901847779750824,0.30020156502723694,0.45921358466148376,-1.6131529808044434,-1.1721800565719604,1.2552801370620728,8.744743347167969,-8.43930721282959,3.90571928024292,-12.488545417785645,2.4899892807006836,0.2327866554260254,0.9283933639526367,-0.6236164569854736,-0.9032382965087891,-0.8409061431884766,0.817603349685669,0.14932474493980408,False
