iter,down_reward,up_reward,down_cos,up_cos,down_mse,up_mse
0,-1.4521378949913442,-0.38209554704103055,-0.12644636446374424,-0.03228586326535797,0.009378458327191532,0.011048452439787968
1,-2.0497423176565315,-0.374374977230984,-0.12598174111670563,-0.03227493805955231,0.019167682057877857,0.012013821795123138
2,-1.7410399444714542,-0.5964842248006967,-0.1256285929287429,-0.03226334801034277,0.017352223927965864,0.01518087521572108
3,-2.225696804991203,-0.30387538455791013,-0.12511957170154256,-0.03226461250189254,0.02484765293694196,0.011855120421316966
4,-0.4792898473935942,-0.32674000509449186,-0.12507727502834382,-0.03226260550245674,0.0016645356922433052,0.010849552961494735
5,-0.5475422856627253,-0.38371750734545446,-0.12498022805527408,-0.03226411549226287,0.00177760288660252,0.012268061949438224
6,-1.264629587721854,-0.4714241150129094,-0.12471214064660673,-0.03226402923607018,0.007091380540091299,0.014104539539063186
7,-2.192737487237293,-0.3729449279831458,-0.12427067575818437,-0.03225558431780961,0.028134179084262252,0.010937035047498657
8,-0.8006903457008825,-0.27104356038021643,-0.12413656255313181,-0.03225475240233873,0.003300780594192906,0.01024843661732682
9,-0.882764989275711,-0.38004569623015905,-0.12397587271104345,-0.032248685836189304,0.004888830985392816,0.011997988701658628
10,-0.7969116625062432,-0.3407936074261412,-0.12382908600345315,-0.03224492373753653,0.004348886967821239,0.011658170374351582
11,-3.904351774371077,-0.3023724842104071,-0.12290173631553537,-0.03224380857187832,0.07001359764182616,0.01084265752276942
12,-1.6126714187068178,-0.3935901614781101,-0.12254563912140903,-0.03223985279333821,0.014064659793221052,0.012009035933361441
13,-2.8621274448058784,-0.3731403999869784,-0.1218690056729467,-0.03224165831914838,0.03478548151738875,0.009952545749344687
14,-0.6439857194757861,-0.3419669993547164,-0.12176042856828578,-0.03223815614931432,0.0023430025242811223,0.012675118457680365
15,-1.857842666582747,-0.4556599502653578,-0.12134035433425769,-0.03222907711697165,0.014710883186095676,0.014028844228469914
16,-6.082639523457561,-0.43264537611937326,-0.11998711728714416,-0.03222556155598941,0.2274396833641631,0.012931821923131385
17,-0.7610257960397269,-0.3581705865760903,-0.11987975524357682,-0.032222411622792435,0.003294901322699691,0.011842804640955986
18,-2.006177580544385,-0.38709887608769,-0.11942744852555935,-0.032213861737655766,0.016769025757958134,0.011115470587906925
19,-3.549961244012718,-0.39172694828793886,-0.11854007797015105,-0.032213314912499534,0.054407081480710114,0.011209120182084914
20,-0.8327687112465659,-0.4032162740350338,-0.11839128302476382,-0.03221002779804366,0.004102827151970079,0.012665769814707859
21,-0.7918736601717709,-0.3866375728737451,-0.11823993740606645,-0.03220339314668359,0.003701649542793157,0.010975743070511173
22,-0.7556151353478153,-0.4331591193425653,-0.11813449439533492,-0.03219871364693361,0.0028738391914527647,0.012258121629845173
23,-0.9397122244609751,-0.40159365660358853,-0.11798818358909925,-0.03218978095090847,0.004156341072322578,0.010996923335073735
24,-1.0788616789777896,-0.3356197063988572,-0.11774823562609182,-0.032185090767581505,0.005999766242076243,0.010304090877154606
25,-5.773570473110342,-0.5164084019248957,-0.1163329856398805,-0.03217257737534749,0.16237813530545894,0.014103796186993766
26,-1.377666209747018,-0.4162907578741758,-0.11606680809589952,-0.03216927753514901,0.010038429417385739,0.013564130963345914
27,-1.4618435676693546,-0.40053748855144955,-0.1157689803706604,-0.03215583633715691,0.00858918033635104,0.011460370328529236
28,-5.258967986206198,-0.3494847596074129,-0.11451485506552792,-0.03215402453818302,0.13412864066092012,0.011718215905629053
29,-0.7784176923582495,-0.35712868237652096,-0.11438560884948573,-0.032150033780832275,0.0038217735445207567,0.011669207766721099
30,-0.8650734156312235,-0.5020953965708507,-0.11423184279437189,-0.03213802470339695,0.0042189337079963935,0.012024854210073018
31,-2.8596401371543534,-0.36238490170187593,-0.11355508248403898,-0.03213101528060234,0.045286332371156174,0.011255072756931312
32,-0.9937407678521283,-0.33555780701584104,-0.11338034387978996,-0.03212486745789235,0.004689300908953341,0.011123063859535228
33,-0.988644353283838,-0.3094542618835632,-0.1131851158311021,-0.032121842929631085,0.00451617893224649,0.011319358250995662
34,-0.7940271938771188,-0.41486762249904735,-0.1130278327909437,-0.03211919374679004,0.0033002169419610212,0.011840473569430512
35,-2.0087233509516222,-0.3035017973080235,-0.1125577130414943,-0.032112827198310524,0.017390188522490583,0.010632851700686936
36,-4.038706097721831,-0.4516373168913445,-0.11164936125243093,-0.032100935401861715,0.10319468243770696,0.014097434834169587
37,-0.6304262506145504,-0.39085682735948607,-0.11154777142709243,-0.032097983657089914,0.0022938839906682545,0.010811739827582979
38,-1.0248947418995578,-0.3853078009314359,-0.11133886993339581,-0.03209569416014216,0.0046485716735194344,0.011899233342523349
39,-2.451603315480804,-0.4450239667596464,-0.11079311035453979,-0.03209000634043528,0.029778636101026726,0.01430491911894494
40,-2.5839388979753872,-0.3713589301077484,-0.11018994700530377,-0.03208611626735575,0.029248330440192698,0.011847262238064454
41,-0.8371584025736923,-0.327231186624252,-0.1100391294427755,-0.03208438029433524,0.0038476861100909176,0.011082501238921683
42,-0.6911268830791503,-0.32765138929916954,-0.10991603947531817,-0.03208146692741666,0.002867827386389916,0.01097677167148994
43,-1.2341988697754287,-0.3674270029229028,-0.10966377197395213,-0.032078562516531954,0.007036339945742652,0.010765558770573098
44,-1.6863373885244664,-0.2306358566268283,-0.10929889505391634,-0.032076996002190744,0.012079576937721931,0.008753956258038329
45,-0.5378594611998956,-0.363903798014592,-0.10920781728346991,-0.03207117944183979,0.0020267164711617837,0.010720429720299652
46,-1.33784069736107,-0.3396413240947226,-0.10893855351200632,-0.03206163183971959,0.009379978155166491,0.011814782490085107
47,-1.7141023473283818,-0.44407321015513723,-0.1085680462811146,-0.03205711801501057,0.020360088118648312,0.014995776187470326
48,-0.8478295558970592,-0.396776233696474,-0.10839402824992243,-0.032050984682278856,0.003471411138758061,0.013915007468679625
49,-2.17322989050845,-0.48426891681383477,-0.10793169845741435,-0.032040629149825514,0.019879318672980355,0.011553928365565843
50,-0.7582981598381483,-0.3375669969269552,-0.10780503775210838,-0.032038950774697775,0.0035627195861382376,0.011188430486813896
51,-1.0071177326574836,-0.5120830090593254,-0.10761281420821708,-0.03203023027359414,0.004517120809638083,0.014133572411700655
52,-1.9199863191050603,-0.41989291473832335,-0.10719128349615412,-0.03202289468487289,0.017862224940176315,0.01123557851489823
53,-2.743574876346528,-0.37000977858826534,-0.10656520208981429,-0.03201678450678939,0.0380008776888846,0.010303073425925253
