iter,down_reward,up_reward,down_cos,up_cos,down_mse,up_mse
0,-1.4521378949913442,-1.1898725294015575,-0.1238268473028994,-0.12224266946156054,3.754105569861654,43.20545637536378
1,-1.924295756446691,-3.121547560740306,-0.11956302398127405,-0.10914410700091769,5.742029739661244,60.22040338761076
2,-1.5170657528567986,-2.1458279597569407,-0.11692096793552606,-0.09906819804900123,4.482883245308205,58.84877391910747
3,-1.8494731781656037,-0.5165876857120235,-0.11334498423167472,-0.09777257339154093,5.404550890322849,40.36797822315203
4,-0.41560189669738057,-1.1310027941966987,-0.11299717868460296,-0.09337242170113566,0.9120922676545917,65.98401258117188
5,-0.5767328349445479,-0.6436309089461789,-0.11189162749123505,-0.09175217238070334,0.8897497453285886,51.20877320715832
6,-1.2292494359389898,-0.6985320521409337,-0.10948386921102625,-0.08921619029585341,2.4471579731187862,56.06238931236457
7,-1.7033827547475393,-2.6096753851194388,-0.10670004067552613,-0.07711392329443675,5.456181515283434,110.25899075685909
8,-0.5835152195343999,-0.4906292396206204,-0.10585453472532493,-0.07527423715779355,1.200325733283042,45.33821975270491
9,-0.6526738097096629,-0.3454149016500841,-0.10486249997012219,-0.07456092751194095,1.261080507108728,45.11880285939061
10,-0.6531996580956957,-2.1036961751674266,-0.10358745322894926,-0.06627881601237431,1.3201003476775002,108.70583379895342
11,-2.582409544519858,-0.39243767624925263,-0.0981673451360804,-0.06557202821974997,8.816170124760966,41.21375915299955
12,-1.0090879811184221,-0.49691693156925165,-0.09634997439642919,-0.06429014051261654,2.461716051581719,47.90275152230562
13,-1.7253731202478386,-0.8752334307009435,-0.09267941434623135,-0.06169529091579426,4.580484800281532,63.989656600255515
14,-0.6993860343914562,-0.6305248585696862,-0.09153197657393142,-0.05959843325243772,1.200246889376484,50.5497826263369
15,-1.1437545229957566,-0.6493562270174759,-0.08893254558814181,-0.057613350260664956,2.7422296652635954,46.4802865988754
16,-3.5875921841666494,-3.1032065034711174,-0.08263715832925439,-0.04503923010498047,24.717230259448225,186.25699490901198
17,-0.7531400361459532,-0.6824441051541582,-0.08159957449749611,-0.04332283959245696,1.542406331738032,63.899148843213446
18,-0.9919597320407406,-0.45324261399707144,-0.0793999542599149,-0.042296878232672024,3.248781415492924,58.55781902591575
19,-1.6699958994231439,-0.5440185964636531,-0.07540352894974313,-0.04090811394450406,6.107864728278686,49.2077689554843
20,-0.8050189372568761,-1.0952788717311173,-0.07407487496880859,-0.03654449831397378,1.8870709794212137,58.672678727801106
21,-0.5248167646412945,-0.5479297801183712,-0.07321557861389366,-0.0349983754392727,1.8174848414576725,52.5386770189467
22,-0.9259135192941866,-0.6312424348300566,-0.0719824396404476,-0.03317272821213881,2.4064761418023304,44.80116202646255
23,-1.1638779936255106,-0.515168071208006,-0.0701748052172498,-0.03107214109688558,3.1159731213201503,43.98510961557318
