iter,down_reward,up_reward,down_cos,up_cos,down_mse,up_mse
0,-1.4521378949913442,-1.1898725294015575,-0.12672945637159136,-0.1268120611305308,0.009378458327191532,0.022562512682225845
1,-2.0629179692968336,-3.4780199517485038,-0.12668269028682547,-0.12699192901385137,0.01938553539167365,0.07711459567117478
2,-1.7659598999725983,-3.1683350092478992,-0.12664682347075626,-0.1271495047705409,0.01786526590341801,0.06584194841179018
3,-2.2712987088804946,-0.4871598503540105,-0.12659488926616652,-0.12716129405919754,0.02590302948042922,0.013338750709837609
4,-0.4882638743130891,-1.9609997141413007,-0.1265904781907708,-0.12725318195954777,0.0016987448201418128,0.03446287968955426
5,-0.5451013317059601,-1.115603941090771,-0.1265808552187144,-0.12729520630670998,0.0017651807818455047,0.020484411152105902
6,-1.2722321066970255,-1.4229549427346697,-0.1265537881285977,-0.1273569181709353,0.007169029508505347,0.02330461206342252
7,-2.2597421226883676,-5.404158187435262,-0.12650824292096752,-0.12763794888799515,0.03003154961498972,0.15750381487809725
8,-0.8335605114296637,-0.8658839240707902,-0.12649409081155366,-0.1276736841630459,0.003515886766831259,0.017753856188996237
9,-0.9180291557770115,-0.4775528444602894,-0.1264772593100132,-0.12768614897758548,0.0052675543773265466,0.014449166176387902
10,-0.8219389610863622,-5.276875217372479,-0.12646196093009138,-0.12795545283805576,0.004562801395844776,0.18697072471511503
11,-4.115809849880917,-0.6444875483877356,-0.12636441753933558,-0.12797514749722078,0.07871376981172307,0.013918447270953552
12,-1.720987622155641,-0.799713214879653,-0.12632632550475306,-0.12800233750719917,0.01612995929746827,0.018662022810237336
13,-3.0806955477673115,-2.018574987997328,-0.12625362623664607,-0.12809340305473096,0.040721691411322994,0.044415511471810394
14,-0.6409589114595011,-0.9581186545985497,-0.12624280281625705,-0.12813108851368313,0.0023496789930670986,0.016848358451547984
15,-2.0185310863822292,-0.8277063004247522,-0.12619694956835664,-0.1281600908575278,0.016992646973578628,0.017437665503908413
16,-6.589940123403325,-10.044813418130998,-0.126050985933676,-0.1286724377836168,0.2709276942246677,0.579730511469189
17,-0.7841351596035443,-1.580633768831529,-0.12603963224443765,-0.12873688675485903,0.003529567526072846,0.03736812959288572
18,-2.275726741491186,-1.4769431540767888,-0.12598817694582692,-0.1287980985861681,0.0211280797083714,0.02555373766966835
19,-4.059013484341396,-1.7800287600492128,-0.12588735537380707,-0.128873195208591,0.07133878575687769,0.036938544650664304
20,-0.8621633270702539,-1.6444497400388118,-0.12587154997750147,-0.12895153943313328,0.004411116726717674,0.031213373415887993
21,-0.881952219281574,-1.373595896248656,-0.12585405435859714,-0.12900795879839902,0.004265475452049302,0.026011099937084135
22,-0.7351788164073012,-0.7853634918743082,-0.1258439278597413,-0.12903913947868442,0.002784056475377981,0.016829504213188462
23,-0.9128442606138164,-1.0917182483642223,-0.1258298727557291,-0.1290898075536751,0.004032186663853816,0.019573970669097777
24,-1.2264389186080649,-1.5550195713917756,-0.12580216637578456,-0.12916149539883612,0.007231767188437855,0.02912463156111186
25,-6.683535439034586,-2.1000040628602927,-0.12564005252168128,-0.12925286565531577,0.22386914735831182,0.03898195699165233
