iter,down_reward,up_reward,down_cos,up_cos,down_mse,up_mse
0,-0.20381057999860314,-0.2030262482549997,-0.009483079886350028,-0.009965885939145823,0.003918600800086233,0.009907829382972503
1,-0.19374740810571695,-0.1954819035640698,-0.00986726233391672,-0.010833868705219542,0.005729400874358134,0.011992058758961617
2,-0.17619907210084534,-0.1809779499014599,-0.010234354824590185,-0.011666058242627956,0.005041384277371669,0.009856414986663094
3,-0.2662917409032891,-0.2661870558023023,-0.010887109767230627,-0.013027333656932132,0.005922909451844561,0.01345184437924098
4,-0.20132213496254509,-0.20769024728122418,-0.011324421874177825,-0.013975709078309367,0.00361022297526761,0.010307919118419868
5,-0.22429408390340438,-0.22487745786400734,-0.011905890181343448,-0.015165036415603994,0.0061371335493378715,0.013567646238218935
6,-0.5090758342320618,-0.5025225518445567,-0.013680027503488856,-0.018761390063777177,0.016538472496828834,0.02206888287281986
7,-0.1960050063448357,-0.20081361033089717,-0.014046298520889908,-0.019578817350502473,0.00575104717639687,0.011315430778105772
8,-0.45960348683180874,-0.4682972492983395,-0.015650280239872277,-0.022970176634598015,0.015165229906517658,0.020964433644645522
9,-0.2032310346021669,-0.21322337014368428,-0.01624957885040982,-0.024299020634225028,0.004551228378377687,0.012024514647620032
